GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
REST_DZ,org.example.entity,Group,0,22,0,0,0,10,0,5,0,5
REST_DZ,org.example.entity,OptionalClass,0,32,0,0,0,14,0,7,0,7
REST_DZ,org.example.entity,Student,0,52,0,0,0,22,0,11,0,11
REST_DZ,org.example.entity,StudentToOptionalClass,0,32,0,0,0,14,0,7,0,7
REST_DZ,org.example.db,DBConnectorImpl,33,0,2,0,12,0,5,0,4,0
REST_DZ,org.example.System,PropertiesTaker,6,18,0,0,2,4,0,3,0,3
REST_DZ,org.example.servlet,GroupServlet,161,0,4,0,54,0,8,0,6,0
REST_DZ,org.example.servlet,StudentServlet,160,0,2,0,54,0,7,0,6,0
REST_DZ,org.example.servlet,OptionalClassServlet,82,0,2,0,26,0,5,0,4,0
REST_DZ,org.example.servlet.dto,StudentSmallOutGoingDto,24,0,0,0,10,0,5,0,5,0
REST_DZ,org.example.servlet.dto,GroupUpdateDto,26,0,0,0,12,0,6,0,6,0
REST_DZ,org.example.servlet.dto,OptionalClassIncomingDto,12,0,0,0,6,0,3,0,3,0
REST_DZ,org.example.servlet.dto,StudentOutGoingDto,36,0,0,0,14,0,7,0,7,0
REST_DZ,org.example.servlet.dto,StudentUpdateDto,36,0,0,0,14,0,7,0,7,0
REST_DZ,org.example.servlet.dto,OptionalClassUpdateDto,18,0,0,0,8,0,4,0,4,0
REST_DZ,org.example.servlet.dto,GroupOutGoingDto,18,0,0,0,8,0,4,0,4,0
REST_DZ,org.example.servlet.dto,GroupIncomingDto,16,0,0,0,8,0,4,0,4,0
REST_DZ,org.example.servlet.dto,OptionalClassOutGoingDto,36,0,0,0,16,0,8,0,8,0
REST_DZ,org.example.servlet.dto,StudentIncomingDto,24,0,0,0,10,0,5,0,5,0
REST_DZ,org.example.repository.impl,GroupRepositoryImpl,196,0,10,0,61,0,13,0,8,0
REST_DZ,org.example.repository.impl,StudentToOptionalClassRepositoryImpl,209,0,10,0,64,0,13,0,8,0
REST_DZ,org.example.repository.impl,OptionalClassRepositoryImpl,201,0,10,0,63,0,13,0,8,0
REST_DZ,org.example.repository.impl,StudentRepositoryImpl,275,0,14,0,78,0,15,0,8,0
REST_DZ,org.example.servlet.mapper.impl,GroupDtoMapperImpl,38,0,2,0,12,0,6,0,5,0
REST_DZ,org.example.servlet.mapper.impl,StudentDtoMapperImpl,68,0,2,0,22,0,7,0,6,0
REST_DZ,org.example.servlet.mapper.impl,OptionalClassDtoMapperImpl,65,0,2,0,19,0,8,0,7,0
REST_DZ,org.example.service.impl,StudentServiceImpl,90,0,8,0,23,0,12,0,8,0
REST_DZ,org.example.service.impl,GroupServiceImpl,84,0,4,0,22,0,10,0,8,0
REST_DZ,org.example.service.impl,OptionalClassServiceImpl,81,0,4,0,23,0,11,0,9,0
